Feature,Q1,Median,Mean,Q3,Std_dev
genre_score,5.8,6.03,6.03,6.22,0.49
movie_writer_quality,5.0,6.0,6.03,6.93,1.43
movie_actor_score,5.61,6.76,6.67,7.53,1.4
budget,22449168.97,23902569.33,26455185.37,28614196.01,11531826.33
director_quality,5.2,6.2,6.17,7.1,1.48
