director_id,director_experience,director_quality,director_total_votes
nm8589158,2,7.200000047683716,154
nm11959577,1,7.5,17
nm1672062,1,5.400000095367432,360
nm3989826,3,7.03333314259847,951
nm5423069,1,6.099999904632568,7
nm6368573,1,5.900000095367432,13
nm5147765,1,6.900000095367432,726
nm1890752,1,5.900000095367432,14056
nm2943939,1,6.699999809265137,31
nm1440314,1,6.5,9690
nm8584156,1,8.0,43
nm5749041,2,4.75,1144
nm0909568,1,5.599999904632568,3128
nm3026537,2,6.650000095367432,105166
nm9800165,1,6.400000095367432,17
nm2691863,1,3.0,1946
nm1547840,2,6.900000095367432,81
nm6567078,1,4.800000190734863,75
nm11984539,1,4.5,14
nm8558713,2,5.049999952316284,26
nm11984621,1,6.0,12
nm6064890,2,7.3999998569488525,115
nm11989046,1,6.699999809265137,185
nm12188755,1,8.5,930
nm1148550,1,7.199999809265137,7352
nm0181117,2,6.3999998569488525,1997
nm1137766,1,7.199999809265137,250
nm9525794,1,7.5,13
nm12011572,1,8.199999809265137,7
nm0576548,2,6.25,1044
nm1727984,1,6.400000095367432,10
nm6916508,1,7.599999904632568,16051
nm1104993,1,5.300000190734863,531
nm3213441,1,4.699999809265137,44
nm2384379,1,5.699999809265137,11481
nm5449231,1,8.0,13
nm12023765,1,5.199999809265137,14
nm0418764,1,7.800000190734863,30
nm4052861,1,5.5,188
nm0875468,1,3.5999999046325684,127
nm5212080,1,5.099999904632568,572
nm4257762,2,7.499999761581421,79
nm10080874,1,3.4000000953674316,93
nm4380400,2,5.950000047683716,37
nm4578808,1,3.0,140
nm1969661,1,6.400000095367432,9
nm12036993,1,6.800000190734863,20
nm0933940,1,5.5,58131
nm0785966,1,5.699999809265137,28
nm8712409,3,7.1333333651224775,3869
nm1633363,1,8.100000381469727,75
nm2569358,3,7.099999904632568,40
nm0945724,3,6.966666539510091,175500
nm10841985,1,6.900000095367432,186
nm4596522,1,8.699999809265137,32
nm10362110,2,6.099999904632568,131
nm5827040,1,4.5,127
nm8624938,1,7.199999809265137,22
nm11366696,2,9.100000381469727,60
nm5480032,1,7.900000095367432,23
nm11061538,2,4.800000071525574,17
nm10197447,3,6.5,327
nm12063816,1,5.5,14
nm12063990,1,5.400000095367432,233
nm3346055,1,8.899999618530273,24
nm0551076,4,5.149999976158142,11755
nm10669165,1,6.400000095367432,10
nm12068838,2,6.6499998569488525,4368
nm2075456,1,8.199999809265137,46
nm0179030,3,7.5,47
nm8258374,1,9.600000381469727,9
nm1597722,3,3.199999968210856,1981
nm12076236,1,6.800000190734863,18
nm1381100,1,3.5,1835
nm8965312,1,7.5,77
nm1422152,1,8.5,27
nm1142623,2,8.049999713897705,29
nm12084033,1,3.9000000953674316,187
nm2045484,1,3.5999999046325684,29
nm0780547,2,6.900000095367432,12462
nm0783207,1,7.0,20
nm7674178,1,5.5,189
nm7046253,1,7.400000095367432,7
nm0223919,2,4.650000095367432,1780
nm12088330,1,6.300000190734863,12
nm12088966,1,7.199999809265137,340
nm2955255,1,4.099999904632568,30
nm1715872,2,7.500000238418579,160
nm1818064,2,6.950000047683716,113
nm5321533,1,6.900000095367432,10
nm6632729,1,6.800000190734863,25
nm3968463,2,4.399999976158142,136
nm0671318,1,8.600000381469727,81
nm1538623,1,8.600000381469727,5
nm12114155,1,7.900000095367432,39
nm11237219,4,3.199999988079071,62
nm4551992,1,5.300000190734863,53
nm3275674,18,7.055555555555555,770
nm7429908,1,9.399999618530273,5
nm9569748,2,5.399999976158142,49
nm3612206,1,6.800000190734863,144
nm1461391,1,5.099999904632568,27
nm12135611,1,8.800000190734863,9
nm2690651,1,6.400000095367432,2317
nm2426403,3,5.600000063578288,5262
nm3164019,5,8.060000038146972,1016
nm6507801,1,7.0,144
nm0092644,2,7.650000095367432,5098
nm0156047,1,3.0999999046325684,33
nm3437361,1,6.5,69652
nm1310109,2,6.0,421
nm2800789,1,6.300000190734863,77
nm3547751,1,8.199999809265137,7
nm9744119,2,8.200000286102295,188
nm1187019,4,5.524999976158142,1359
nm7309160,1,4.199999809265137,227
nm5937100,1,7.599999904632568,8
nm12153096,1,9.100000381469727,10
nm2262808,1,7.0,120
nm6386670,1,7.400000095367432,138
nm0479298,1,4.900000095367432,27
nm0386570,1,6.300000190734863,23
nm10475512,1,6.800000190734863,30
nm7669214,1,5.5,222
nm4320125,3,4.366666714350383,11366
nm9030701,1,8.0,61
nm6397149,1,8.199999809265137,6
nm2828091,1,6.400000095367432,9
nm5282441,1,5.900000095367432,7965
nm1086695,3,6.3666666348775225,161
nm12183387,3,6.666666666666667,96
nm4996110,2,8.650000095367432,26
nm5504942,1,7.0,8
nm3191853,1,8.0,9
nm6936273,1,6.400000095367432,40
nm0758285,1,7.099999904632568,7
nm3993503,1,5.800000190734863,87
nm5213043,1,8.300000190734863,29
nm3836245,1,5.099999904632568,1146
nm3988831,3,4.6333333651224775,135
nm12218222,1,9.0,6
