genre,avg_rating
Documentary,7.213336372265705
News,7.209425628799753
Biography,6.936415740527709
Game_Show,6.814285755157471
History,6.782755260893406
Music,6.7606189377244235
Sport,6.614271872494797
Reality_TV,6.487640446491456
Film_Noir,6.4535423928436915
Talk_Show,6.403846190525935
War,6.366676753848642
Animation,6.3324965625550425
Drama,6.222950643159742
Family,6.183240226251263
Musical,6.1615919961918255
Romance,6.084321177424017
Crime,5.97361481336043
Comedy,5.885894239644082
Western,5.865620411943409
Adventure,5.856050379258259
Fantasy,5.831464865609323
Mystery,5.819055299302949
Action,5.728918355660729
Thriller,5.606572668611012
Adult,5.550011179416792
Sci_Fi,5.322781711966471
Horror,4.975293835433215
