tconst,primaryTitle,startYear,averageRating,numVotes,genre_score,movie_writer_quality,movie_actor_score,budget,director_quality,top_3_actor_scores
tt10103028,Blindfire,2020,4.9,807,5.934379375043728,4.900000095367432,6.312798778856992,25411765.758938257,4.900000095367432,930.3333333333334
tt29173358,BJJ: Woman on Top,2023,4.3,143,6.222950643159742,4.775000095367432,5.584329313113689,22449168.97011252,4.950000047683716,15333.333333333334
tt10276160,Weekend,2020,4.8,311,5.914761655885377,4.800000190734863,6.594587194287915,25531682.48902002,4.800000190734863,3851.3333333333335
tt20511498,Plancha,2022,5.4,702,5.885894239644082,5.350000143051148,6.509761648433125,28289376.5727412,5.350000143051148,24333.333333333332
tt13575922,Cheeni,2020,6.4,786,6.222950643159742,6.562023851985022,7.932980596515833,22449168.97011252,6.733333428700765,71.5
tt26684750,Ultra Red,2023,3.5,108,5.464677190288741,5.377777761883205,5.693652287606238,42929860.016185984,5.299999989961323,600.6666666666666
tt10786774,Sam Bahadur,2023,7.7,19697,6.508681045845364,6.999999920527141,7.67596941746566,22316555.880383592,6.549999952316284,545.3333333333334
tt15848010,Vaaitha,2022,5.6,156,6.098282728260086,5.599999904632568,7.148905559090818,23810550.63444363,5.599999904632568,22000.0
tt16450934,Love Machine 2,2022,5.6,111,5.885894239644082,5.8666666348775225,6.290915114444261,28289376.5727412,5.700000047683716,15333.333333333334
tt27756224,Wasted,2023,9.6,9,6.222950643159742,9.600000381469728,5.0,22449168.97011252,9.600000381469728,7000.0
tt15670222,The Flood,2023,3.2,2319,5.436928286568318,4.3166667222976685,5.164923189945569,32586910.75400862,3.783333381017049,9634.333333333334
tt10518240,The Donkey King,2020,5.2,322,6.024813727152462,5.199999809265137,6.523694021160398,52168570.67488267,5.199999809265137,418.6666666666667
tt32916201,Vulgar,2024,5.5,145,5.985107708534049,5.5,7.359218686378941,24629269.511692487,5.5,15333.333333333334
tt11388816,Married and Loving It!,2020,5.8,22,6.222950643159742,5.800000190734863,6.828629213836014,22449168.97011252,5.800000190734863,14333.333333333334
tt13452544,Graphic Desires,2022,4.3,543,5.606572668611012,4.300000095367432,4.419905093296184,28614196.00792752,4.440000104904175,6249.333333333333
tt24850708,Gunslingers,2025,3.6,1012,5.939163136921294,3.699999888737997,5.549377360434594,29971396.32591714,4.199999979564121,7472.333333333333
tt26670485,Royal,2025,5.0,183,5.807406297652405,6.407142877578735,7.561866247511523,40568748.73810671,5.0,17333.333333333332
tt13294064,Herd Immunity,2021,6.5,25,6.222950643159742,6.577777756585015,7.133685653724896,22449168.97011252,6.577777756585015,3844.6666666666665
tt14881588,Cuzzo,2021,7.2,14,5.914761655885377,7.299999872843425,8.780713300398856,25531682.48902002,7.5,2248.3333333333335
tt6692776,The Swearing Jar,2022,6.2,813,6.156287938925195,6.199999809265137,6.790053678289453,19845209.201655608,6.199999809265137,8654.333333333334
tt23668086,2323 the Beginning,2022,9.1,12,5.728918355660729,9.100000381469728,7.275717255617179,52848120.90347222,9.100000381469728,837.0
tt11279448,The Blonde Experiment,2022,6.8,49,5.885894239644082,6.800000190734863,7.47069531386059,28289376.5727412,6.800000190734863,2248.3333333333335
tt14952882,Eighteen Hours,2021,4.9,236,5.606572668611012,4.900000095367432,7.032590875741527,28614196.00792752,6.0,7666.666666666667
tt28366799,Strawman,2023,6.1,209,6.502852952026574,5.933333277702332,6.718408790512186,24468268.645484067,5.950000047683716,14598.0
tt11941700,Tonic Film,2021,7.6,2002,6.289821273509415,7.283333301544189,8.321584537695495,22354999.524447173,6.9666666984558105,17000.0
tt14572290,Muse,2021,9.6,10,6.222950643159742,9.600000381469728,10.610142693128662,22449168.97011252,9.600000381469728,8209.0
tt13406130,Filmi Raasleela,2020,7.7,13,6.084321177424017,7.699999809265137,6.628443811290249,20969162.450643778,8.199999809265137,2000.0
tt32659608,Coven of the Black Cube,2024,7.4,21,5.940077983527218,7.11111119058397,7.982168760934222,17864676.943919234,7.333333333333333,13000.0
tt13050932,A Horror in Oakland,2025,4.4,14,5.397174567368082,5.700000047683716,6.40434854493455,20276247.67809599,5.1333333651224775,9333.333333333334
tt5723896,When Everything's Gone,2020,3.6,96,5.464677190288741,3.5999999046325684,4.447685431008328,42929860.016185984,4.699999928474426,7122.666666666667
tt27625776,As It Flows,2022,8.5,14,6.15363591029188,8.5,8.170893141504392,21709165.710378148,8.5,4513.0
tt31710879,Legend of the Tall Grass,2024,5.9,19,5.290933252022113,6.299999952316284,6.29124460532325,22456305.679276817,6.299999952316284,646.3333333333334
tt11368252,Bawri Chhori,2021,4.1,133,6.222950643159742,4.244444370269775,5.678982262570199,22449168.97011252,4.174999952316284,912.6666666666666
tt11522860,Not My Mother's Baking,2020,7.2,53,5.985107708534049,7.949999809265137,8.659445409791907,24629269.511692487,7.199999809265137,8608.333333333334
tt13680678,Margot,2020,5.6,16,5.560081124793416,5.599999904632568,5.0,22947290.64297773,5.599999904632568,898.3333333333334
tt27012240,American Maroon,2023,6.6,125,7.213336372265705,5.0,6.168497429426063,4388240.25,6.266666730244954,5564.666666666667
tt22023218,You'll Never Find Me,2023,5.8,8145,5.601605715734657,5.800000190734863,6.327945151541663,22453926.77622205,5.800000190734863,5573.666666666667
tt13498824,The Match,2025,7.5,77,6.591212752060749,7.5,7.799446580046384,23451939.857645795,7.5,8996.0
tt5608400,The Jester from Transylvania,2024,4.8,37,5.719018767110168,5.900000095367432,5.5302549028335575,38674737.986233264,5.900000095367432,21000.0
tt13580476,Dead Souls' Vacation,2020,8.6,26,7.213336372265705,8.225000262260437,5.0,4388240.25,8.600000381469727,9666.666666666666
tt13593042,Revue Starlight the Movie,2021,7.8,228,6.094788520458504,7.800000031789144,8.735498782062727,46770066.77043572,8.0,25333.333333333332
tt34957792,Raising the Bar: The Alma Richards Story,2025,8.9,17,6.8595855007105575,7.099999904632568,7.816126140218658,25167045.62709448,7.099999904632568,6969.666666666667
tt21090492,Absence of Innocence,2022,7.3,107,6.222950643159742,6.575000047683716,7.738438994683348,22449168.97011252,6.575000047683716,558.6666666666666
tt16381608,Transient,2024,6.5,377,5.717435007912408,5.912499994039536,6.724290611012776,36102963.00082816,5.912499994039536,5267.666666666667
tt9250082,Performer,2022,8.3,6,6.054422441401912,8.300000190734863,9.277026587501071,25369272.771426857,8.300000190734863,5962.333333333333
tt15440562,The New Years Baby,2021,5.4,13,6.115733884805209,5.0,5.148332989837487,53872651.1465588,4.840000009536743,768.0
tt14033502,Bad Luck Banging or Loony Porn,2021,6.5,11371,5.8862853540735385,6.571428571428571,7.550534077388722,25369272.771426857,6.571428571428571,4333.333333333333
tt13803242,The Last One,2021,8.3,8,5.322781711966471,8.300000190734863,9.601008976827316,57245524.024444446,8.300000190734863,179.33333333333334
tt19413760,What Did Deborah Do?,2023,7.5,27,6.222950643159742,7.5,8.488783336894995,22449168.97011252,7.5,1279.3333333333333
tt31465592,Indrani: Epic-1 Dharam vs Karam,2024,7.6,1060,5.945921079488184,7.599999904632568,7.622505482045405,34528888.81544197,7.599999904632568,407.3333333333333
tt21650198,Cuffin Season,2022,6.6,13,5.985107708534049,6.599999904632568,7.719531595825185,24629269.511692487,6.599999904632568,750.3333333333334
tt15910068,Doka,2024,9.2,56,6.222950643159742,9.199999809265137,11.211674036405086,22449168.97011252,9.199999809265137,236.33333333333334
tt5651912,Holy New York,2020,3.8,15,6.222950643159742,3.799999952316284,4.826237774429158,22449168.97011252,3.799999952316284,592.6666666666666
tt26787296,Burning Betrayal,2023,4.2,4106,6.042109039962235,4.516666491826375,6.582737888729452,22557470.47544072,5.766666571299235,14000.0
tt11468232,Yenni Thuniga,2022,5.9,828,5.728918355660729,5.900000095367432,6.898835667524584,52848120.90347222,5.900000095367432,15000.0
tt12267750,Grandpa's Crazy?,2023,7.8,50,6.227802112796714,6.7500001192092896,6.839383679157535,33406355.75988257,7.800000190734863,424.0
tt18260282,The Bone Breakers,2022,6.2,86,6.222950643159742,6.116666475931804,7.202719286522994,22449168.97011252,6.199999809265137,16000.0
tt35218867,UrbEx,2025,4.6,14,5.931734292103311,4.799999952316284,5.0,16433617.202851212,4.799999952316284,15666.666666666666
tt32104188,Above Top Secret the Technology Behind Disclosure,2022,6.4,17,7.213336372265705,5.0,7.951799641958876,4388240.25,5.3199999809265135,703.3333333333334
tt12925390,Halfway Home,2022,6.4,914,5.95789302151667,6.400000095367432,7.560007242717861,34852221.20759139,6.400000095367432,810.6666666666666
tt24019984,He Played Me 2,2022,6.1,71,6.222950643159742,5.77142858505249,7.490727708795021,22449168.97011252,6.527777777777778,12333.333333333334
tt11261820,Tahara,2020,5.9,397,6.222950643159742,5.900000095367432,7.055343374062726,22449168.97011252,5.900000095367432,11333.333333333334
tt28803144,Alangu,2024,8.1,1183,5.728918355660729,7.650000095367432,7.156643754962879,52848120.90347222,7.650000095367432,4860.666666666667
tt14696284,Better Nate Than Ever,2022,6.4,3185,6.097361703018362,6.0,7.139395627844208,32869436.19342289,6.0,2865.0
tt12748296,Coronavirus: Perfect Storm,2020,6.1,21,6.222950643159742,4.669999992847442,6.47990565774868,22449168.97011252,4.7586207143191634,3555.0
tt32176009,Dearest Viet,2024,8.2,6,7.213336372265705,5.0,5.0,4388240.25,8.199999809265137,35000.0
tt9806258,Shadowtown,2020,4.5,189,5.882859537024568,4.5,5.809549833696342,25105814.9945353,4.5,3787.6666666666665
tt14246570,Hotel Iris,2021,5.4,63,6.222950643159742,5.400000095367432,6.784579836571647,22449168.97011252,5.400000095367432,277.0
tt15432818,Nightwatch,2022,7.7,17,6.222950643159742,6.8999998569488525,6.757111066222596,22449168.97011252,7.699999809265137,8523.333333333334
tt26758372,Meiyazhagan,2024,8.4,13934,6.203095434705503,7.699999809265137,7.342711167112803,35159466.00376374,7.699999809265137,717.0
tt21440122,Twente op Film - Zo doo wiejleu dat,2022,7.7,6,7.213336372265705,7.699999809265137,8.707365271685934,4388240.25,7.699999809265137,14666.666666666666
tt27300761,Snatched,2024,5.0,211,5.728918355660729,5.104545506564054,6.601061057185712,52848120.90347222,5.3038461941939135,18000.0
tt21334894,2017,2022,8.4,36,6.913804122380251,7.066666444142659,5.0,14224083.959745765,7.949999690055847,4615.333333333333
tt11489092,Bread: An Everyday Miracle,2020,7.0,121,7.213336372265705,7.0,8.420077107304374,4388240.25,7.0,4294.666666666667
tt21435350,Passport,2022,7.0,80,5.885894239644082,5.066666603088379,7.019942052767758,28289376.5727412,6.4666666984558105,6660.666666666667
tt12862516,Adopting Audrey,2021,5.6,386,6.222950643159742,5.599999904632568,6.280067138056099,22449168.97011252,5.599999904632568,10666.666666666666
tt13583466,The Eternal Moment,2022,7.6,60,7.213336372265705,7.599999904632568,5.0,4388240.25,7.599999904632568,1479.3333333333333
tt18398938,Harlow's Haunt,2022,4.0,569,4.975293835433215,4.0,5.338555873501665,16298415.350626118,4.0,1080.6666666666667
tt22778022,Feral Birds,2022,6.9,54,6.222950643159742,7.2399999618530275,8.051100178822187,22449168.97011252,7.288888878292507,679.0
tt15274254,Don't Let Me Stay,2023,3.8,94,5.606572668611012,3.799999952316284,7.227354777794607,28614196.00792752,3.799999952316284,913.0
tt14446324,Bright House,2021,4.9,64,6.222950643159742,4.900000095367432,5.426761929469744,22449168.97011252,4.900000095367432,5331.0
tt35929526,KorimDick,2024,8.6,7,6.1615919961918255,8.600000381469727,5.0,16117296.184210526,8.600000381469727,745.6666666666666
tt13604934,The Boys Who Said NO!,2020,7.7,30,7.213336372265705,7.599999904632568,9.092101446505014,4388240.25,7.699999809265137,6570.666666666667
tt33533431,No Such Person,2024,6.2,17,5.606572668611012,6.199999809265137,7.112880498907219,28614196.00792752,6.5,374.3333333333333
tt2141809,Lie with Me,2021,6.4,141,6.222950643159742,6.400000095367432,6.676448704260467,22449168.97011252,6.400000095367432,10333.333333333334
tt21211334,Vitthala Tuch,2022,7.8,6,6.222950643159742,7.800000190734863,8.671974075495656,22449168.97011252,7.800000190734863,9333.333333333334
tt21595312,Ant Karm,2022,9.6,7,6.222950643159742,9.600000381469728,5.0,22449168.97011252,9.600000381469728,26333.333333333332
tt15430152,Orbital,2022,5.1,32,5.772866177563106,5.099999904632568,5.0,39847346.49727848,5.099999904632568,2248.3333333333335
tt9859574,Shiv Shastri Balboa,2022,6.6,2329,6.054422441401912,6.599999904632568,7.596097220139787,25369272.771426857,6.599999904632568,4306.333333333333
tt13302660,Double Threat,2022,4.7,1474,5.740461754638607,4.400000015894572,5.273802297300292,36583897.828046985,4.400000015894572,16000.0
tt10962838,The Big Rant,2021,7.1,36,6.054422441401912,7.099999904632568,8.316869184175468,25369272.771426857,7.099999904632568,23333.333333333332
tt22479582,Chrysanthemum,2022,6.3,224,6.222950643159742,6.850000143051148,7.314639313737477,22449168.97011252,6.300000190734863,4262.666666666667
tt14295864,Love,2021,5.2,71,6.064388686742614,5.106666501363119,6.521241557294464,23902569.33116583,5.199999809265137,29900.666666666668
tt5153956,Last Sentinel,2023,4.9,7802,5.672433259298636,5.0,5.839787173192524,21000554.77543484,4.900000095367432,25333.333333333332
tt13887082,Grand Jeté,2022,4.7,1205,6.222950643159742,4.699999809265137,5.949296562177596,22449168.97011252,4.699999809265137,1495.6666666666667
tt30235816,Al progredire della notte,2025,8.1,15,4.975293835433215,8.100000381469727,8.17883458443374,16298415.350626118,8.100000381469727,1454.6666666666667
tt27481100,Who's Afraid of Nathan Law?,2023,8.3,43,7.213336372265705,8.050000190734863,5.0,4388240.25,8.050000190734863,12000.0
tt10261710,Fairy Dance,2021,4.4,6,6.064388686742614,4.400000095367432,6.486878200750543,23902569.33116583,4.400000095367432,224.0
tt31851933,Bored Games,2024,3.5,116,5.885894239644082,3.5,5.011315324408852,28289376.5727412,3.5,1550.6666666666667
tt11454430,Jaan to Pyara,2020,3.9,17,5.956079290955996,3.900000095367432,5.297938109747154,50358941.97044359,4.855555640326606,614.0
tt19730338,Naalo Ninnu Dachaane,2022,8.6,1097,6.084321177424017,8.600000381469727,5.0,20969162.450643778,8.600000381469727,7863.666666666667
tt15295912,Megalodon Rising,2021,2.1,987,5.342331301020138,2.0999999046325684,4.6421744921583175,42130686.759514265,3.3666666746139526,10895.666666666666
tt31172607,Cruel Summer III: Pray for Fall,2024,5.3,14,4.975293835433215,4.025000095367432,5.488099581130967,16298415.350626118,4.025000095367432,14000.0
tt19719976,Joyland,2022,7.6,7412,6.0274865653880845,7.3749998807907104,8.801901788123274,25303492.61387616,7.599999904632568,6659.666666666667
tt27191250,Mechanic Rocky,2024,6.5,3445,5.975934499410236,6.450000047683716,7.161831043688358,37648644.93679237,6.5,3852.6666666666665
tt18374194,De allergrootste slijmfilm,2022,4.8,111,6.0196453027547605,5.604166785875956,6.09192463865849,55536594.02579968,5.425000190734863,18862.666666666668
tt10984980,La Vida en el Silencio,2022,7.8,23,6.222950643159742,7.800000190734863,7.844135191864514,22449168.97011252,7.800000190734863,984.6666666666666
tt19768220,Role Model,2023,8.0,67,6.222950643159742,7.75,7.826574335706053,22449168.97011252,8.0,16000.0
tt19712084,GOW - Ghost of Wuhan,2022,9.2,25,6.222950643159742,9.199999809265137,5.0,22449168.97011252,9.199999809265137,762.3333333333334
tt21301666,Tees Maar Khan,2022,5.4,2284,6.0120633920814965,5.400000095367432,7.069214311023027,32088817.44140951,5.650000095367432,17666.666666666668
