batch_size,hidden_nodes,learning_rate,activation,momentum,reg_param,mse,r2,training_time
32,32,0.01,relu,0.9,0.001,1.0898739036512666,0.426195424904409,176.61344003677368
32,64,0.01,relu,0.9,0.001,1.0888713162821937,0.4267232742431075,259.2798693180084
32,128,0.01,relu,0.9,0.001,1.088959208492591,0.4266770001261915,249.35465216636658
64,32,0.01,relu,0.9,0.001,1.07201745256794,0.43559661644799685,132.73142099380493
64,64,0.01,relu,0.9,0.001,1.0722197210646833,0.43549012468923454,123.26039481163025
64,128,0.01,relu,0.9,0.001,1.072658408920443,0.43525916118251096,126.21018600463867
