tconst,cast_avg_movie_rating,cast_avg_votes_per_movie,cast_avg_total_movies,cast_avg_rating_std_dev,cast_avg_high_rated_movie_count,cast_avg_career_span,cast_avg_recent_avg_rating,movie_rating
tt10060772,6.8666666348775225,2501.6666666666665,3.0,1.4153916088660294,1.0,20.0,8.5,8.5
tt10963118,6.379166603088379,39.44444444444445,4.166666666666667,1.2093484207549337,0.3333333333333333,9.666666666666666,6.091666579246521,6.1
tt30632856,5.787499961753686,5734.473958333333,7.0,0.7004731841153041,0.0,9.5,5.531666509310405,5.2
tt21880688,5.831083105169202,2190.4300653594773,25.0,0.8158262155895775,0.14285714285714285,21.142857142857142,5.785657576692889,6.0
tt29871473,4.856823343497056,30.012535612535615,7.333333333333333,1.6454976909397174,0.16666666666666666,3.5,4.465156692724961,4.0
tt1584146,3.6633333365122476,312.23333333333335,4.4,0.9136283108735892,0.0,11.0,3.0800000190734864,3.2
tt27494634,6.705993359887993,1219.4655870445345,15.5,1.1486837626038156,1.5,8.5,6.873076951809418,7.6
tt11167448,6.580262859052134,1469.1583669436154,17.571428571428573,0.6917484064629201,0.2857142857142857,27.428571428571427,6.6892857892172675,6.8
tt28416328,6.177500045299531,51.4,5.0,0.8777649323275545,0.0,10.5,6.824999988079071,7.5
tt11674126,5.833333333333333,24.166666666666668,3.5,2.6954653346687705,0.5,13.0,4.274999916553497,2.8
tt6881446,5.535673046341309,1081.4019230769231,11.5,1.4058324174055177,0.5,14.25,5.488541575769584,5.1
tt11741044,6.105189413494534,14528.709469696969,9.75,1.082531441723083,0.5,13.75,6.35750004251798,6.0
tt11135504,6.093437126267961,588.1193528693528,7.833333333333333,0.8203293607667934,0.16666666666666666,14.333333333333334,5.76250003443824,5.9
tt6950220,5.887000044186911,296.9633333333333,7.4,1.8225495595642378,1.0,8.2,5.166666657584054,4.0
tt15502162,5.542763198154014,3530.2105263157896,11.75,1.4330043049573107,0.75,16.0,5.562500139077504,4.8
tt18335416,5.764444393581814,197.03333333333333,5.333333333333333,2.4870911644707645,0.0,18.333333333333332,7.422222084469265,7.7
tt9765760,4.8973809570074085,84.24404761904762,13.0,1.23095521540402,0.0,14.0,5.012083393335343,4.8
tt29953830,5.55952376978738,71.04761904761905,28.75,1.461653240803861,1.25,5.0,5.529999955495199,5.0
tt18291892,5.8396428551219755,3998.732095238095,18.2,0.6669687186415418,0.2,16.2,5.766190459614708,6.1
tt20772084,5.642241399589627,275.3781609195402,30.4,0.9506087367895283,0.4,15.6,5.573000025749207,5.0
tt29253219,5.853963321870937,1337.907252747253,16.0,0.965095186042032,0.4,15.6,5.677499945958456,5.7
tt11908172,5.687879423931699,60992.10713947991,16.4,1.2451962186846668,0.6,15.8,5.790952382768903,5.5
tt16149652,6.622103761571597,14850.783213083212,18.333333333333332,1.235992836526984,1.5,17.0,7.1798610922363055,6.9
tt32201950,5.693749924500783,595.1041666666666,4.5,1.226249084640738,0.25,8.25,5.9999998807907104,6.2
tt13327144,8.399999618530273,84.0,3.0,0.0,3.0,0.0,8.399999618530273,8.4
tt15587126,6.325990630590282,2528.8942285247435,17.833333333333332,0.5352462201639904,0.16666666666666666,11.833333333333334,6.27736113137669,6.1
tt4269310,5.045828859415364,7374.174525382691,39.285714285714285,1.642476193057158,0.7142857142857143,26.428571428571427,4.5931122597653316,3.5
tt33429914,6.149266323090886,4782.017934154688,31.142857142857142,0.8475340897898962,0.2857142857142857,20.142857142857142,6.1844588578005375,6.6
tt33540966,4.749783516446233,606.2532467532467,6.428571428571429,1.2945994621352774,0.2857142857142857,9.714285714285714,4.559523776883171,3.8
tt15779158,7.035384542514116,1498.2358974358976,8.666666666666666,1.2916012871759397,1.6666666666666667,9.666666666666666,7.37499996026357,7.0
tt19785552,6.095429977051969,3865.470551378446,15.5,0.7249017931985289,0.0,11.75,6.094230756545678,6.1
tt33616537,6.257210833442455,270.0382653061224,8.285714285714286,0.6583695019192576,0.0,23.285714285714285,6.404591771615606,6.6
tt15397918,5.37612012125455,5961.081764069264,14.5,1.2984398106629633,0.0,13.25,5.129807669382829,3.3
tt26769707,7.402083499091012,25.63095238095238,6.25,1.035392539697713,1.75,4.25,7.524583514531454,7.4
tt34459868,6.852083394924799,71.5625,6.0,1.3196315870284026,2.0,10.5,4.900000095367432,4.9
tt13899178,5.772836213558522,41.508529565672426,10.142857142857142,1.8492813730637272,1.0,5.142857142857143,5.9293197279344065,4.4
tt7343800,4.7569944640220045,506.12416609155747,19.333333333333332,1.656531031736862,1.0,13.833333333333334,4.377923806304606,2.5
tt22487338,6.243496255199413,3023.9124373433588,17.0,0.7303989085234651,0.0,27.333333333333332,6.565277787049612,6.9
tt11482948,6.188380164015191,2177.1856178835174,24.428571428571427,0.9162058501944272,0.7142857142857143,24.571428571428573,6.052900463987738,6.0
tt18228142,4.6816312105926725,10770.807931606438,27.714285714285715,1.4423450526896828,0.5714285714285714,22.428571428571427,4.207738072247733,2.6
tt10663608,5.200000047683716,376.4166666666667,5.5,0.9982290822792466,0.0,7.5,5.200000047683716,4.3
tt29382607,8.01566666285197,22.986666666666668,5.6,0.9957363240223845,2.6,3.0,8.01566666285197,8.2
tt27724343,4.841971888210311,351.0052503052503,7.166666666666667,0.5423788108024392,0.16666666666666666,6.0,4.58714282891107,4.5
tt28637452,6.229166658719381,469.9708333333333,8.8,0.8246357760021497,0.0,8.6,6.406428558485848,5.9
tt18263348,5.597321420520931,1005.0411255411254,8.0,0.9422175832172105,0.0,11.25,5.606805541780259,5.6
tt12536294,6.34554074585593,73448.98560408736,33.4,0.7213028560271834,0.4,22.2,6.19619692181096,6.5
tt16103266,6.2316783294782745,5165.9772272272285,24.833333333333332,0.5881928151130293,0.3333333333333333,16.166666666666668,6.337783968422667,6.1
tt10846486,6.360889306833068,1280.9479853479854,14.142857142857142,0.756402535108091,1.0,18.714285714285715,6.474149581526412,6.6
