tconst,main_cast_avg_movie_rating,main_cast_avg_votes_per_movie,main_cast_avg_total_movies,main_cast_avg_rating_std_dev,main_cast_avg_high_rated_movie_count,main_cast_avg_career_span,main_cast_avg_recent_avg_rating,supporting_cast_avg_movie_rating,supporting_cast_avg_votes_per_movie,supporting_cast_avg_total_movies,supporting_cast_avg_rating_std_dev,supporting_cast_avg_high_rated_movie_count,supporting_cast_avg_career_span,supporting_cast_avg_recent_avg_rating,movie_rating
tt10141678,5.733333428700765,31.666666666666668,3.0,1.3203534266281542,0.0,4.0,5.600000143051148,5.730119062605358,2096.572619047619,6.6,1.122754166224048,0.0,9.6,5.609999999999999,4.3
tt10146208,5.815497101448732,4995.744047619048,24.333333333333332,0.9310635555923268,0.0,16.666666666666668,5.8966667069329155,6.061809532982963,874.6809523809525,8.6,0.8553260265961276,0.0,11.8,6.046666669845582,6.4
tt10157810,6.11571425256275,10051.42619047619,5.333333333333333,1.1435789614675453,0.0,6.333333333333333,6.236111084620158,5.738461494445801,582.1538461538462,13.0,0.6212065283200364,0.0,26.0,4.849999904632568,4.7
tt10463488,4.133333206176758,297.3333333333333,4.0,1.858314595605557,0.0,11.0,2.5999999046325684,4.233333269755046,129.11111111111111,3.6666666666666665,1.3805563310740776,0.0,11.0,2.5999999046325684,2.6
tt10463692,4.754385992100365,367.7894736842106,21.333333333333332,0.9705834073697783,0.0,7.333333333333333,4.609150339575375,5.354474158033471,2292.2691622103384,18.0,1.1123804585588404,0.8,27.2,5.053174578954303,4.5
tt10803866,5.740871452817729,1134.1601307189542,52.666666666666664,0.728153540823119,0.0,31.666666666666668,5.683189005734772,5.928999991416932,845.6899999999999,3.6,0.2854196176279502,0.0,6.4,6.07999997138977,6.1
tt10804304,6.316339851204866,5525.973856209151,9.0,0.8901610044441971,0.6666666666666666,11.333333333333334,6.396666701634725,6.0964912243853435,3120.5079365079364,14.666666666666666,1.02560154759751,0.3333333333333333,29.333333333333332,6.138888756434123,6.1
tt10805260,6.096031694185167,272.3333333333333,4.666666666666667,0.5058357927128296,0.0,5.666666666666667,6.544444402058919,6.054761866160801,1016.4785714285715,7.714285714285714,0.8334933859026447,0.2857142857142857,21.0,6.319999958219982,6.6
tt10810172,5.537551993708913,142.2156862745098,16.666666666666668,1.2102377517656453,0.3333333333333333,17.666666666666668,5.677777873145209,7.333333651224772,55.0,4.0,1.778576318621414,2.0,3.0,7.333333651224772,5.3
tt10816484,6.119334546666733,5360.118437118437,25.333333333333332,0.7359585667487528,0.0,20.0,6.131172162359888,6.016954582604495,3793.948181818182,14.8,0.8575291693030845,0.2,23.6,6.2461905729203,6.9
